epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.179,1.17045,3.06858,1.38813,0.63795,0.40652,0.41267,0.25912,1.21242,1.77837,1.44061,0.000221371,0.000221371,0.000221371
2,223.589,1.25588,2.11264,1.44466,0.61732,0.33876,0.34733,0.20361,1.31173,1.93902,1.5589,0.000436383,0.000436383,0.000436383
3,312.574,1.30153,2.03945,1.48806,0.66794,0.39524,0.39238,0.21888,1.41435,2.00215,1.64648,0.000644058,0.000644058,0.000644058
4,401.521,1.2808,1.8308,1.46422,0.64468,0.3983,0.39431,0.23236,1.35961,1.82434,1.61044,0.000633983,0.000633983,0.000633983
5,491.286,1.279,1.73358,1.46483,0.58482,0.42731,0.46308,0.27089,1.33102,1.61583,1.55367,0.000622978,0.000622978,0.000622978
6,582.045,1.23808,1.56674,1.42369,0.71504,0.43458,0.46216,0.27069,1.35135,1.62169,1.56062,0.000611972,0.000611972,0.000611972
7,671.301,1.22712,1.51758,1.41286,0.63473,0.46707,0.50958,0.31145,1.26056,1.42787,1.48882,0.000600967,0.000600967,0.000600967
8,760.188,1.20286,1.44284,1.40699,0.54222,0.47601,0.52737,0.32902,1.20429,1.32267,1.4531,0.000589961,0.000589961,0.000589961
9,849.013,1.17576,1.38757,1.38156,0.78748,0.48327,0.55632,0.34608,1.22171,1.26279,1.45229,0.000578956,0.000578956,0.000578956
10,938.329,1.17709,1.35859,1.38103,0.69079,0.50718,0.53732,0.33813,1.21206,1.28203,1.44531,0.00056795,0.00056795,0.00056795
11,1026.37,1.1488,1.30226,1.35886,0.55292,0.53255,0.57502,0.36182,1.17466,1.19306,1.40993,0.000556945,0.000556945,0.000556945
12,1114.81,1.1329,1.26632,1.34958,0.65782,0.51742,0.55969,0.35603,1.18995,1.19105,1.42434,0.00054594,0.00054594,0.00054594
13,1203.75,1.11774,1.20786,1.33619,0.65737,0.5045,0.54924,0.35125,1.18302,1.27675,1.4275,0.000534934,0.000534934,0.000534934
14,1293.27,1.09767,1.20615,1.32335,0.7529,0.5663,0.60674,0.38173,1.16668,1.10633,1.39759,0.000523928,0.000523928,0.000523928
15,1381.21,1.11732,1.20096,1.33091,0.57216,0.56534,0.5779,0.36913,1.17648,1.15301,1.39689,0.000512923,0.000512923,0.000512923
